user_id,type,x,y,dist_init_m,dist_centroid_m,dist_weighted_m,rx_init_dbm,rx_centroid_dbm,rx_weighted_dbm,snr_init_db,snr_centroid_db,snr_weighted_db,th_init_mbps,th_centroid_mbps,th_weighted_mbps
0,outdoor,-62.734282484100035,36.03314299824518,72.34623413230882,67.41046124117443,81.483665063265,-53.232543424985295,-52.61877080849038,-54.26563593322328,46.767456575014705,47.38122919150962,45.73436406677672,15.535843160864385,15.739730008363935,15.192665413608387
1,outdoor,-27.79424716925387,-147.33392751129193,149.93267279551912,175.92801279786622,181.31877302374707,-59.56215049568266,-60.950924776867595,-61.21308026512648,40.43784950431734,39.049075223132405,38.78691973487352,13.433293264258268,12.972001578875128,12.884926583445898
2,outdoor,26.478708876732465,0.01902861421591379,26.478715714077026,34.22092467265994,29.15005526723629,-44.50216317177896,-46.73005964015036,-45.337012484217155,55.49783682822104,53.26994035984964,54.662987515782845,18.435986404601312,17.695897944279714,18.158656328234905
3,outdoor,-42.30643754339163,123.99247397706928,131.0113287489563,108.58692868353002,113.54098889805748,-58.390401861917155,-56.75977582505715,-57.14727828308557,41.609598138082845,43.24022417494285,42.85272171691443,13.822508893518858,14.364159965099384,14.235440819574269
4,outdoor,62.44436210734745,82.36324776018074,103.35861328693632,81.47448618352102,69.9844998306235,-56.33115831360843,-54.26465743983793,-52.94426209639283,43.66884168639157,45.73534256016207,47.05573790360717,14.506537191127023,15.1929904533965,15.631606194958653
5,outdoor,100.02315493900387,65.55782244903553,119.59289112740457,104.0681831654482,89.88564426431108,-57.59833213365147,-56.39058428750981,-55.11803154661958,42.40166786634853,43.60941571249019,44.88196845338042,14.085612159701986,14.486797163861569,14.909514074081988
6,outdoor,23.37230791088785,55.20544222227219,59.94919205492251,35.345670724629656,27.650791725700294,-51.59989152256139,-47.01094938045756,-44.87837625386754,48.40010847743861,52.98905061954244,55.12162374613246,16.078188867296255,17.602588846284526,18.31101149201265
7,outdoor,-40.23532794160353,58.75811863908268,71.21374951912655,55.11778995726475,66.16566694266878,-53.09550188781006,-50.87006074349816,-52.45687872417042,46.90449811218994,49.12993925650184,47.54312127582958,15.581366430806815,16.320630178610266,15.793508429936205
8,outdoor,-114.09792206711725,86.49118532000693,143.17493131862764,132.71262641997043,144.78624595724105,-59.161564503297484,-58.50246971558323,-59.25877099015858,40.838435496702516,41.49753028441677,40.74122900984142,13.566353558708169,13.785283361490244,13.53406495473757
9,outdoor,-152.78105109390538,-38.019031616521396,157.44045330986754,169.13295763631325,183.4325136263742,-59.98655146483041,-60.60878970350612,-61.31375118141494,40.01344853516959,39.39121029649388,38.68624881858506,13.292323702506902,13.085642787146616,12.851488901812335
10,outdoor,-78.2756624195942,43.54973746936193,89.57487907263184,84.07075630289343,97.87041539335353,-55.087949444927716,-54.537123921434855,-55.857253466381835,44.912050555072284,45.462876078565145,44.142746533618165,14.919506808376404,15.102481541125954,14.66395856609369
11,outdoor,-52.70353645736501,-122.25300080579467,133.12948193820344,158.4223188546691,166.22058438202026,-58.52970967404079,-60.040552151095994,-60.457920930771195,41.47029032595921,39.959447848904006,39.542079069228805,13.77623508610734,13.274386862123432,13.135754642347978
12,indoor,55.23193882570405,32.696892063070706,64.18452942127418,51.821486905531074,37.174276139027754,-52.1928320633252,-50.33442223362843,-47.449075247305444,47.8071679366748,49.66557776637157,52.550924752694556,15.881221333679381,16.498563394777165,17.45704735310211
13,indoor,50.3111147819347,32.4014454759258,59.84197472953579,46.90715423608465,32.25709072186876,-51.58434316237299,-49.469006553480426,-46.21672874723515,48.41565683762701,50.530993446519574,53.78327125276485,16.083353846228867,16.78604544579809,17.866422018302842
14,indoor,56.59594973454451,35.590204494923654,66.85629500911318,53.62984582414418,38.98540431089895,-52.54707094472907,-50.63235580320831,-47.86226568569529,47.45292905527093,49.36764419679169,52.13773431430471,15.763547755831196,16.39959311169997,17.319789260848935
15,indoor,55.22386871141932,34.76227884849335,65.25405509389041,52.13183694714412,37.48255500648142,-52.33637493993389,-50.38628539912685,-47.52080857427602,47.66362506006611,49.61371460087315,52.47919142572398,15.833538225455436,16.481335011311202,17.43321819122071
16,indoor,55.04441362504987,31.211219508104403,63.27738691277202,51.45596160342706,36.82965106879382,-52.06919556109287,-50.27293880744776,-47.3681769199292,47.93080443890713,49.72706119255224,52.6318230800708,15.922291819829686,16.51898752782121,17.483921047778466
17,indoor,53.96401785204649,34.62220309139172,64.11561564578139,50.86685163376694,36.218181302993585,-52.183501169650455,-50.172921996768494,-47.222757602547745,47.816498830349545,49.827078003231506,52.777242397452255,15.884320938163565,16.552212043403983,17.53222804020795
18,indoor,52.45578360845411,31.659958790822238,61.26958645701409,48.9353524728904,34.29633112695162,-51.78912381510233,-49.83667925051749,-46.74917810590813,48.21087618489767,50.16332074948251,53.25082189409187,16.015328189067006,16.663908347473615,17.68954695740458
19,indoor,57.431251596207964,37.06801633035006,68.35485713959206,54.73830037391237,40.112636707733074,-52.739612433662344,-50.81005100273261,-48.10984903870303,47.260387566337656,49.18994899726739,51.89015096129697,15.699588033324591,16.34056474110307,17.23754436856758
